Date,상권,공실률,공실률_예측_머신러닝,공실률_예측_딥러닝,공실률_차이_머신,공실률_차이_딥
2015_1,건대입구,7.2,8.542 ,7.018 ,1.342 ,0.182 
2015_1,경희대,3.1,5.055 ,3.922 ,1.955 ,0.822 
2015_1,공덕역,4.8,6.674 ,5.401 ,1.874 ,0.601 
2015_1,광화문,1.3,2.930 ,2.122 ,1.630 ,0.822 
2015_1,군자,8.9,8.057 ,6.155 ,0.843 ,2.745 
2015_1,동대문,13.1,8.504 ,9.458 ,4.596 ,3.642 
2015_1,명동,5.7,8.475 ,7.697 ,2.775 ,1.997 
2015_1,목동,3.2,4.337 ,4.479 ,1.137 ,1.279 
2015_1,사당,0.8,4.277 ,1.886 ,3.477 ,1.086 
2015_1,서초,10.5,9.633 ,10.515 ,0.867 ,0.015 
2015_1,성신여대,8.6,8.332 ,7.260 ,0.268 ,1.340 
2015_1,수유,6.6,8.850 ,6.817 ,2.250 ,0.217 
2015_1,신촌,8.2,12.104 ,16.461 ,3.904 ,8.261 
2015_1,영등포,10.2,9.968 ,9.726 ,0.232 ,0.474 
2015_1,용산,6.9,7.198 ,8.091 ,0.298 ,1.191 
2015_1,이태원,8.9,9.169 ,9.210 ,0.269 ,0.310 
2015_1,잠실,6.8,6.991 ,6.066 ,0.191 ,0.734 
2015_1,장안동,3.9,5.568 ,5.255 ,1.668 ,1.355 
2015_1,종로,10.7,10.476 ,13.510 ,0.224 ,2.810 
2015_1,천호,4.9,6.855 ,5.343 ,1.955 ,0.443 
2015_1,청담,6.9,9.207 ,7.830 ,2.307 ,0.930 
2015_1,청량리,8.1,12.234 ,6.854 ,4.134 ,1.246 
2015_1,충무로,3.3,10.171 ,6.251 ,6.871 ,2.951 
2015_1,테헤란로,9.9,8.967 ,11.043 ,0.933 ,1.143 
2015_1,혜화동,2,4.450 ,4.501 ,2.450 ,2.501 
2015_1,홍대합정,7,6.471 ,8.066 ,0.529 ,1.066 
2015_1,화곡,11.7,8.461 ,10.916 ,3.239 ,0.784 
2015_2,건대입구,5.7,6.343 ,5.096 ,0.643 ,0.604 
2015_2,경희대,1.8,5.213 ,2.104 ,3.413 ,0.304 
2015_2,공덕역,6.7,7.663 ,6.159 ,0.963 ,0.541 
2015_2,광화문,1.5,3.237 ,2.470 ,1.737 ,0.970 
2015_2,군자,6.6,6.281 ,5.122 ,0.319 ,1.478 
2015_2,동대문,15.5,8.225 ,12.528 ,7.275 ,2.972 
2015_2,명동,5.7,9.266 ,7.531 ,3.566 ,1.831 
2015_2,목동,3.2,5.356 ,4.703 ,2.156 ,1.503 
2015_2,사당,1.9,6.513 ,2.877 ,4.613 ,0.977 
2015_2,서초,8.2,8.658 ,8.038 ,0.458 ,0.162 
2015_2,성신여대,8.6,8.630 ,6.934 ,0.030 ,1.666 
2015_2,수유,16,8.598 ,10.969 ,7.402 ,5.031 
2015_2,신촌,8.9,15.405 ,13.515 ,6.505 ,4.615 
2015_2,영등포,8.3,8.757 ,8.736 ,0.457 ,0.436 
2015_2,용산,7.3,8.766 ,7.920 ,1.466 ,0.620 
2015_2,이태원,9.2,10.632 ,8.390 ,1.432 ,0.810 
2015_2,잠실,5.3,7.154 ,4.792 ,1.854 ,0.508 
2015_2,장안동,3.9,6.976 ,5.777 ,3.076 ,1.877 
2015_2,종로,10,9.529 ,11.499 ,0.471 ,1.499 
2015_2,천호,3.8,5.926 ,4.183 ,2.126 ,0.383 
2015_2,청담,6.9,9.626 ,8.382 ,2.726 ,1.482 
2015_2,청량리,9.2,10.580 ,5.643 ,1.380 ,3.557 
2015_2,충무로,3.3,6.352 ,6.326 ,3.052 ,3.026 
2015_2,테헤란로,9.7,8.990 ,10.139 ,0.710 ,0.439 
2015_2,혜화동,4.6,5.072 ,4.316 ,0.472 ,0.284 
2015_2,홍대합정,7.5,7.539 ,7.173 ,0.039 ,0.327 
2015_2,화곡,19.8,12.207 ,16.544 ,7.593 ,3.256 
2015_3,건대입구,5.4,7.204 ,5.033 ,1.804 ,0.367 
2015_3,경희대,1.3,6.214 ,2.304 ,4.914 ,1.004 
2015_3,공덕역,10.9,8.790 ,7.884 ,2.110 ,3.016 
2015_3,광화문,1.3,3.383 ,2.270 ,2.083 ,0.970 
2015_3,군자,6.6,6.731 ,5.015 ,0.131 ,1.585 
2015_3,동대문,15.7,14.356 ,11.192 ,1.344 ,4.508 
2015_3,명동,5.6,8.516 ,7.894 ,2.916 ,2.294 
2015_3,목동,2.3,5.984 ,5.068 ,3.684 ,2.768 
2015_3,사당,1.9,4.815 ,2.921 ,2.915 ,1.021 
2015_3,서초,3.3,7.782 ,6.126 ,4.482 ,2.826 
2015_3,성신여대,9.8,8.353 ,7.588 ,1.447 ,2.212 
2015_3,수유,17.2,7.299 ,10.836 ,9.901 ,6.364 
2015_3,신촌,8.9,12.127 ,11.996 ,3.227 ,3.096 
2015_3,영등포,9,8.399 ,8.644 ,0.601 ,0.356 
2015_3,용산,7,8.991 ,7.932 ,1.991 ,0.932 
2015_3,이태원,10,10.677 ,8.154 ,0.677 ,1.846 
2015_3,잠실,6.3,6.351 ,4.982 ,0.051 ,1.318 
2015_3,장안동,4.8,6.699 ,6.478 ,1.899 ,1.678 
2015_3,종로,9.8,9.570 ,11.234 ,0.230 ,1.434 
2015_3,천호,3.8,5.171 ,4.363 ,1.371 ,0.563 
2015_3,청담,11,7.699 ,8.921 ,3.301 ,2.079 
2015_3,청량리,9.5,11.639 ,6.074 ,2.139 ,3.426 
2015_3,충무로,3.3,6.512 ,4.839 ,3.212 ,1.539 
2015_3,테헤란로,7.4,8.874 ,9.135 ,1.474 ,1.735 
2015_3,혜화동,4.7,4.891 ,4.791 ,0.191 ,0.091 
2015_3,홍대합정,8.2,6.734 ,7.145 ,1.466 ,1.055 
2015_3,화곡,19.8,11.590 ,16.632 ,8.210 ,3.168 
2015_4,건대입구,3.8,7.440 ,4.072 ,3.640 ,0.272 
2015_4,경희대,1.3,5.368 ,1.990 ,4.068 ,0.690 
2015_4,공덕역,10.9,8.307 ,5.533 ,2.593 ,5.367 
2015_4,광화문,1.3,2.791 ,4.183 ,1.491 ,2.883 
2015_4,군자,6,6.501 ,4.289 ,0.501 ,1.711 
2015_4,동대문,12.9,10.781 ,11.724 ,2.119 ,1.176 
2015_4,명동,10.4,8.599 ,9.902 ,1.801 ,0.498 
2015_4,목동,2,5.401 ,4.261 ,3.401 ,2.261 
2015_4,사당,0.7,6.106 ,2.394 ,5.406 ,1.694 
2015_4,서초,3.4,7.827 ,5.340 ,4.427 ,1.940 
2015_4,성신여대,7.5,8.276 ,6.155 ,0.776 ,1.345 
2015_4,수유,18.7,7.390 ,13.664 ,11.310 ,5.036 
2015_4,신촌,6.4,12.204 ,9.377 ,5.804 ,2.977 
2015_4,영등포,8.7,10.565 ,8.916 ,1.865 ,0.216 
2015_4,용산,6.2,8.953 ,6.937 ,2.753 ,0.737 
2015_4,이태원,10.4,9.088 ,8.249 ,1.312 ,2.151 
2015_4,잠실,8.2,7.439 ,5.969 ,0.761 ,2.231 
2015_4,장안동,4.8,6.471 ,6.419 ,1.671 ,1.619 
2015_4,종로,9.8,9.135 ,11.913 ,0.665 ,2.113 
2015_4,천호,3.8,5.536 ,3.674 ,1.736 ,0.126 
2015_4,청담,11,8.982 ,10.669 ,2.018 ,0.331 
2015_4,청량리,9.3,10.598 ,8.680 ,1.298 ,0.620 
2015_4,충무로,7.8,8.782 ,7.959 ,0.982 ,0.159 
2015_4,테헤란로,12.4,8.652 ,11.059 ,3.748 ,1.341 
2015_4,혜화동,3.7,3.755 ,4.969 ,0.055 ,1.269 
2015_4,홍대합정,4.3,6.260 ,6.488 ,1.960 ,2.188 
2015_4,화곡,21.6,9.707 ,18.678 ,11.893 ,2.922 
2016_1,건대입구,4.1,7.952 ,3.755 ,3.852 ,0.345 
2016_1,경희대,1.8,5.657 ,1.927 ,3.857 ,0.127 
2016_1,공덕역,10.9,9.787 ,7.385 ,1.113 ,3.515 
2016_1,광화문,2.2,3.965 ,4.078 ,1.765 ,1.878 
2016_1,군자,3.1,5.976 ,3.627 ,2.876 ,0.527 
2016_1,동대문,12.1,6.983 ,11.162 ,5.117 ,0.938 
2016_1,명동,9.9,8.920 ,11.319 ,0.980 ,1.419 
2016_1,목동,4,6.667 ,4.754 ,2.667 ,0.754 
2016_1,사당,3.7,6.858 ,2.787 ,3.158 ,0.913 
2016_1,서초,6.8,8.771 ,6.522 ,1.971 ,0.278 
2016_1,성신여대,10.2,7.608 ,6.922 ,2.592 ,3.278 
2016_1,수유,16.1,7.476 ,12.296 ,8.624 ,3.804 
2016_1,신촌,6,9.404 ,11.017 ,3.404 ,5.017 
2016_1,영등포,11.9,9.223 ,8.921 ,2.677 ,2.979 
2016_1,용산,6.6,10.373 ,8.167 ,3.773 ,1.567 
2016_1,이태원,13.5,11.050 ,8.932 ,2.450 ,4.568 
2016_1,잠실,6.6,8.489 ,5.732 ,1.889 ,0.868 
2016_1,장안동,4.8,7.515 ,6.856 ,2.715 ,2.056 
2016_1,종로,9.8,8.897 ,11.485 ,0.903 ,1.685 
2016_1,천호,4,6.015 ,4.046 ,2.015 ,0.046 
2016_1,청담,11,8.789 ,10.708 ,2.211 ,0.292 
2016_1,청량리,8.7,7.656 ,5.362 ,1.044 ,3.338 
2016_1,충무로,8.4,8.842 ,7.605 ,0.442 ,0.795 
2016_1,테헤란로,8.4,9.294 ,10.163 ,0.894 ,1.763 
2016_1,혜화동,2.8,4.315 ,5.323 ,1.515 ,2.523 
2016_1,홍대합정,5.1,5.904 ,6.444 ,0.804 ,1.344 
2016_1,화곡,18.9,10.358 ,16.749 ,8.542 ,2.151 
2016_2,건대입구,1.3,5.962 ,2.860 ,4.662 ,1.560 
2016_2,경희대,0.4,2.584 ,1.296 ,2.184 ,0.896 
2016_2,공덕역,10.9,9.002 ,8.040 ,1.898 ,2.860 
2016_2,광화문,2.9,3.431 ,5.222 ,0.531 ,2.322 
2016_2,군자,3.1,5.191 ,2.918 ,2.091 ,0.182 
2016_2,동대문,11.1,13.901 ,10.229 ,2.801 ,0.871 
2016_2,명동,11.2,10.128 ,9.641 ,1.072 ,1.559 
2016_2,목동,6.1,6.809 ,6.002 ,0.709 ,0.098 
2016_2,사당,2.1,5.917 ,2.530 ,3.817 ,0.430 
2016_2,서초,5.3,8.259 ,6.797 ,2.959 ,1.497 
2016_2,성신여대,13.4,9.826 ,7.086 ,3.574 ,6.314 
2016_2,수유,14.8,7.861 ,10.908 ,6.939 ,3.892 
2016_2,신촌,7.9,8.901 ,9.506 ,1.001 ,1.606 
2016_2,영등포,9.3,11.062 ,9.400 ,1.762 ,0.100 
2016_2,용산,7.5,9.587 ,7.713 ,2.087 ,0.213 
2016_2,이태원,12.6,8.837 ,9.111 ,3.763 ,3.489 
2016_2,잠실,7.4,6.546 ,4.054 ,0.854 ,3.346 
2016_2,장안동,6.7,7.503 ,7.751 ,0.803 ,1.051 
2016_2,종로,9.8,8.986 ,11.827 ,0.814 ,2.027 
2016_2,천호,4,5.668 ,4.378 ,1.668 ,0.378 
2016_2,청담,11,8.785 ,11.127 ,2.215 ,0.127 
2016_2,청량리,8.2,7.034 ,7.062 ,1.166 ,1.138 
2016_2,충무로,5.1,7.805 ,6.574 ,2.705 ,1.474 
2016_2,테헤란로,6.4,7.469 ,8.607 ,1.069 ,2.207 
2016_2,혜화동,5,7.484 ,5.580 ,2.484 ,0.580 
2016_2,홍대합정,5.9,7.687 ,7.273 ,1.787 ,1.373 
2016_2,화곡,18.9,8.897 ,16.817 ,10.003 ,2.083 
2016_3,건대입구,3.1,6.561 ,3.660 ,3.461 ,0.560 
2016_3,경희대,0.4,2.119 ,0.980 ,1.719 ,0.580 
2016_3,공덕역,6.1,8.346 ,6.945 ,2.246 ,0.845 
2016_3,광화문,2.1,3.802 ,4.649 ,1.702 ,2.549 
2016_3,군자,4.7,6.024 ,4.133 ,1.324 ,0.567 
2016_3,동대문,10.3,15.725 ,8.621 ,5.425 ,1.679 
2016_3,명동,8,9.973 ,9.246 ,1.973 ,1.246 
2016_3,목동,11.2,7.955 ,7.502 ,3.245 ,3.698 
2016_3,사당,1.6,5.426 ,2.635 ,3.826 ,1.035 
2016_3,서초,5.3,8.095 ,6.953 ,2.795 ,1.653 
2016_3,성신여대,12.9,8.869 ,7.017 ,4.031 ,5.883 
2016_3,수유,12.3,7.958 ,10.375 ,4.342 ,1.925 
2016_3,신촌,6.3,10.987 ,5.386 ,4.687 ,0.914 
2016_3,영등포,11.3,11.856 ,10.665 ,0.556 ,0.635 
2016_3,용산,7.6,10.971 ,7.743 ,3.371 ,0.143 
2016_3,이태원,12.6,10.156 ,9.545 ,2.444 ,3.055 
2016_3,잠실,7,6.760 ,5.383 ,0.240 ,1.617 
2016_3,장안동,7,8.847 ,6.734 ,1.847 ,0.266 
2016_3,종로,9.8,7.969 ,10.414 ,1.831 ,0.614 
2016_3,천호,4,6.481 ,4.673 ,2.481 ,0.673 
2016_3,청담,11,7.463 ,12.792 ,3.537 ,1.792 
2016_3,청량리,8.1,7.389 ,7.869 ,0.711 ,0.231 
2016_3,충무로,5.1,7.330 ,6.231 ,2.230 ,1.131 
2016_3,테헤란로,8.9,8.853 ,9.987 ,0.047 ,1.087 
2016_3,혜화동,5.3,7.276 ,5.011 ,1.976 ,0.289 
2016_3,홍대합정,12.7,8.770 ,9.349 ,3.930 ,3.351 
2016_3,화곡,15.8,9.482 ,15.197 ,6.318 ,0.603 
2016_4,건대입구,3.4,7.238 ,3.768 ,3.838 ,0.368 
2016_4,경희대,0.4,2.756 ,0.939 ,2.356 ,0.539 
2016_4,공덕역,6.1,9.053 ,6.359 ,2.953 ,0.259 
2016_4,광화문,2.1,2.940 ,4.824 ,0.840 ,2.724 
2016_4,군자,7.6,6.851 ,5.897 ,0.749 ,1.703 
2016_4,동대문,10.4,17.250 ,9.179 ,6.850 ,1.221 
2016_4,명동,5.1,8.845 ,7.804 ,3.745 ,2.704 
2016_4,목동,7.6,7.301 ,7.521 ,0.299 ,0.079 
2016_4,사당,3.5,7.100 ,3.199 ,3.600 ,0.301 
2016_4,서초,3.6,9.160 ,6.312 ,5.560 ,2.712 
2016_4,성신여대,10.6,9.570 ,6.601 ,1.030 ,3.999 
2016_4,수유,13.8,6.851 ,10.102 ,6.949 ,3.698 
2016_4,신촌,5.5,10.511 ,5.957 ,5.011 ,0.457 
2016_4,영등포,12.4,11.961 ,11.066 ,0.439 ,1.334 
2016_4,용산,8.5,10.941 ,8.199 ,2.441 ,0.301 
2016_4,이태원,16.7,12.799 ,9.997 ,3.901 ,6.703 
2016_4,잠실,6.8,8.964 ,5.776 ,2.164 ,1.024 
2016_4,장안동,6.7,8.052 ,6.875 ,1.352 ,0.175 
2016_4,종로,10.2,8.589 ,10.738 ,1.611 ,0.538 
2016_4,천호,4,6.166 ,4.495 ,2.166 ,0.495 
2016_4,청담,11.4,7.732 ,12.277 ,3.668 ,0.877 
2016_4,청량리,8.1,6.460 ,7.154 ,1.640 ,0.946 
2016_4,충무로,5.1,6.974 ,6.235 ,1.874 ,1.135 
2016_4,테헤란로,8.9,8.023 ,10.341 ,0.877 ,1.441 
2016_4,혜화동,5.3,6.285 ,4.680 ,0.985 ,0.620 
2016_4,홍대합정,12.7,8.068 ,9.184 ,4.632 ,3.516 
2016_4,화곡,15.8,9.176 ,15.388 ,6.624 ,0.412 
2017_1,건대입구,2.9,6.223 ,2.803 ,3.323 ,0.097 
2017_1,경희대,0.5,1.554 ,0.822 ,1.054 ,0.322 
2017_1,공덕역,5.3,6.098 ,5.948 ,0.798 ,0.648 
2017_1,광화문,1.8,2.487 ,2.801 ,0.687 ,1.001 
2017_1,군자,2.1,6.342 ,4.083 ,4.242 ,1.983 
2017_1,논현역,1,6.626 ,1.820 ,5.626 ,0.820 
2017_1,동대문,10.9,11.179 ,9.306 ,0.279 ,1.594 
2017_1,명동,5.5,7.998 ,8.409 ,2.498 ,2.909 
2017_1,목동,5.5,8.110 ,7.072 ,2.610 ,1.572 
2017_1,불광역,3.8,6.351 ,3.559 ,2.551 ,0.241 
2017_1,사당,5,6.767 ,2.939 ,1.767 ,2.061 
2017_1,서초,9.4,9.327 ,9.404 ,0.073 ,0.004 
2017_1,성신여대,10.6,9.189 ,8.005 ,1.411 ,2.595 
2017_1,수유,13.7,5.952 ,9.209 ,7.748 ,4.491 
2017_1,신림역,5.6,6.844 ,4.990 ,1.244 ,0.610 
2017_1,신촌,5.5,7.638 ,10.928 ,2.138 ,5.428 
2017_1,압구정,7.3,9.202 ,9.329 ,1.902 ,2.029 
2017_1,영등포,10.9,11.117 ,10.406 ,0.217 ,0.494 
2017_1,오류동역,2.8,5.936 ,3.002 ,3.136 ,0.202 
2017_1,왕십리,10.2,8.260 ,7.698 ,1.940 ,2.502 
2017_1,용산,8.2,9.100 ,8.151 ,0.900 ,0.049 
2017_1,이태원,14.9,9.791 ,10.700 ,5.109 ,4.200 
2017_1,잠실,8.9,11.336 ,5.557 ,2.436 ,3.343 
2017_1,장안동,7.6,8.132 ,6.743 ,0.532 ,0.857 
2017_1,종로,4.7,6.290 ,7.422 ,1.590 ,2.722 
2017_1,천호,5.3,6.299 ,4.404 ,0.999 ,0.896 
2017_1,청담,4.7,6.250 ,8.395 ,1.550 ,3.695 
2017_1,청량리,6.2,7.297 ,5.419 ,1.097 ,0.781 
2017_1,테헤란로,11.1,9.054 ,10.922 ,2.046 ,0.178 
2017_1,혜화동,2.6,4.760 ,2.820 ,2.160 ,0.220 
2017_1,홍대합정,8,6.022 ,7.467 ,1.978 ,0.533 
2017_1,화곡,14.1,8.757 ,12.851 ,5.343 ,1.249 
2017_2,건대입구,2.4,6.547 ,2.597 ,4.147 ,0.197 
2017_2,경희대,0.5,2.526 ,1.452 ,2.026 ,0.952 
2017_2,공덕역,5.3,6.139 ,5.320 ,0.839 ,0.020 
